Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
rich_development_7;Good living conditions - Upper Class V;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_8;Good living conditions - Upper Class VI;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_9;Good living conditions - Upper Class VII;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
rich_development_10;Good living conditions - Upper Class VIII;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_1;Low living conditions - Middle Class II;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_2;Low living conditions - Middle Class I;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_3;Good living conditions - Middle Class I;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_4;Good living conditions - Middle Class II;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_5;Good living conditions - Middle Class III;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_6;Good living conditions - Middle Class IV;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_7;Good living conditions - Middle Class V;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_8;Good living conditions - Middle Class VI;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_9;Good living conditions - Middle Class VII;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
middle_development_10;Good living conditions - Middle Class VIII;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_1;Low living conditions - Lower Class I;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_2;Low living conditions - Lower Class II;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_3;Good living conditions - Lower Class I;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_4;Good living conditions - Lower Class II;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_5;Good living conditions - Lower Class III;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_6;Good living conditions - Lower Class IV;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_7;Good living conditions - Lower Class V;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_8;Good living conditions - Lower Class VI;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_9;Good living conditions - Lower Class VII;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
poor_development_10;Good living conditions - Lower Class VIII;Efficacit・ de l'・ducation;Bildungseffizienz;;;;;;;;;;;
tribal_democracy;Tribal Democracy;;;;;;;;;;;;;
tribal_democracy_ruler;Tribe Leader;;;;;;;;;;;;;
archduchy;Archduchy;;;;;;;;;;;;;
archduchy_ruler;Archduke;;;;;;;;;;;;;
oligarchic_republic;Oligarchic Republic;;;;;;;;;;;;;
oligarchic_republic_ruler;Doge;;;;;;;;;;;;;
szlachta_rebels_name;Szlachta Rebels;;;;;;;;;;;;;
promote_labourers;Encourage Gentry;;;;;;;;;;;;;
promote_farmers;Encourage Commoners;;;;;;;;;;;;;
fertilizer;Pesticide;;;;;;;;;;;;;
fertilizer_factory;Pesticide Factory;;;;;;;;;;;;;
fertilizer_factory_desc;In this factory, sulphur is processed into pesticide. These pesticides are used to increase the productivity of farms.;;;;;;;;;;;;;
slave_rebels_title;Slave Rebels;;;;;;;;;;;;;
slave_rebels_name;Slave Rebels;;;;;;;;;;;;;
slave_rebels_desc;Tired of serving their masters, Slave Rebels will attempt to end the institution cousing their suffering under all cost.;;;;;;;;;;;;;
slave_rebels_army;Free Army;;;;;;;;;;;;;
hre_member;Member Of The Holy Roman Empire;;;;;;;;;;;;;
hre_emperor;Is The Holy Roman Emperor;;;;;;;;;;;;;
janissery_rebels_title;Janissery Rebels;;;;;;;;;;;;;
janissery_rebels_name;Janissery Rebels;;;;;;;;;;;;;
janissery_rebels_army;Janissery Corps;;;;;;;;;;;;;
janissery_rebels_desc;Afraid of their influence being lowered, Janisseries will attempt to increase Army Influence at any cost;;;;;;;;;;;;;
clergy_and_nobility_domination;�RFirst And Second Estate Domination�!;;;;;;;;;;;;;
witch_hunts;Witch Hunts;;;;;;;;;x;;;;
desc_witch_hunts;A witch-hunt, or a witch purge, is a search for people who have been labeled witches or a search for evidence of witchcraft.;;;;;;;;;x;;;;
foreign_service_pressing;Foreign Service Pressing;;;;;;;;;x;;;;
desc_foreign_service_pressing;Foreign nations press our population into serving in their military\n�YReduces Soldier Promotion�!;;;;;;;;;x;;;;
HAVE_CRIME;Province Suffers From �Y$NAME$�W;;;;;;;;;;;x
fugitive_peasants;Fugitive Peasants;;;;;;;;;;;x
desc_fugitive_peasants;Our peasants attempt to escape their misrable life of serfdom.;;;;;;;;;;;x
piracy;Piracy;;;;;;;;;x;;;;
desc_piracy;Piracy is an act of robbery or criminal violence by ship or boat-borne attackers upon another ship or a coastal area, typically with the goal of stealing cargo and other valuable goods. Those who conduct acts of piracy are called pirates, while the dedicated ships that pirates use are called pirate ships.;;;;;;;;;x;;;;
unruly_nobility;Unruly Nobility;x
maronnage;Maronnage;x
religious_persecutions;Religious Persecutions;x
