qara_kirgiz;Qara Khitan;x
shirvani;Shirvani;x	
lezgin;Lezgin;x
kumyk;Kumyk;x
avar;Avar;x
kabardian;Kabardian;x
chechen;Durdzuk;x
circassian;Circassian;x
kipchak;Kipchak;x
cuman;Cuman;x
oghuz;Oghuz;x
bulgar_tatar;Bolghar;x
bashkir;Bashkir;x
pecheneg;Pecheneg;x
malorussian;Little Rus';x
pruthenian;Pruthenian;x
russian;Rus';x
siebenburger;Siebenburger;x
byelorussian;White Rus';x
mordvin;Mordvin;x
sibir_tatar;Siberian Tatar;x
oirat;Oirat;x
chaghatay;Chagatai;x
dehgani;Dehqan;x
khwarazmian;Khwarazmian;x
khorasani;Khorasani;x
pamiri;Pamiri;x
nogai;Nogai;x
sistani;Sistani;x
tuvan;Tuvan;x
evenki;Tungus;x
oroqen;Orochon;x
khitan;Khitan;x
manchu;Jurchen;x
jin;Jin;x
hanhui;Hui;x
jassic;Jassic;x
latin;Latin;x
rusyn;Red Rus';x
bihari;Sadri;x
bhojpuri;Bhojpuri;x
kutchi;Kutchi;x
magahi;Magahi;x
maithili;Maithili;x
mewari;Mewari;x
malvi;Malvi;x
bagheli;Bagheli;x
cchattisgarhi;Cchattisgarhi;x
gondi;Gondi;x
varhadi_nagpuri;Varhadi;x
awadhi;Awadhi;x
marwari;Marwari;x
dakkhani;Deccani;x
konkani;Konkani;x
kannauji;Kannauji;x
braj;Braj;x
bundeli;Bundeli;x
khandeshi;Khandeshi;x
sarakai;Multani;x
khasi;Khasi;x
sylheti;Sylheti;x
haryanvi;Haryanvi;x
ladakhi;Ladakhi;x
kham;Kham;x
amdo;Amdo;x
u_tsang;U-Tsang;x
veps;Veps;x
savonian;Savonian;x
karelian;Karelian;x
ingrian;Izhorian;x
livonian;Livonian;x
sami;Sami;x
ukrainian;Severian;x #Ruthenian
tumed;Tumed;x
buryat;Buryat;x
novgorodian;Novgorodian;x
skanian;Scanian;x
moravian;Moravian;x
szekely;Szekely;x
romanian;Vlachian;x
azerbaijani;Azeri;x
adhari;Adhari;x
talysh;Talysh;x
gilaki;Gilaki;x
mazanderani;Mazanderani;x
samogitian;Samogitian;x
courish;Couronian;x
latvia;Latgallian;x
cypriot;Cypriot;x
outremer;Outremer;x
khuzestani;Khuzestani;x
transylvanian;Transylvanian;x
lurish;Lurish;x
qashqai;Qashqai;x
khaliji;Khaliji;x
kuhmareyi;Shirazi;x
tangut;Tangut;x
bosniak;Bosnian;x
